date,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-13,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0
2020-01-19,1,0,0,0,1,0,0,0
2020-01-20,0,0,0,0,1,0,0,0
2020-01-21,1,0,0,0,2,0,0,0
2020-01-22,4,0,0,0,6,0,0,1
2020-01-23,1,0,0,1,7,0,0,2
2020-01-24,1,0,0,0,8,0,0,2
2020-01-25,0,0,0,0,9,0,0,2
2020-01-26,2,0,0,0,11,0,0,2
2020-01-27,0,0,0,1,11,0,0,3
2020-01-28,0,0,0,0,11,0,0,3
2020-01-29,0,0,0,1,11,0,0,5
2020-01-30,1,0,0,0,12,0,0,5
2020-01-31,1,0,0,3,13,0,0,8
2020-02-01,0,0,0,0,14,0,0,8
2020-02-02,3,0,0,0,17,0,0,8
2020-02-03,2,0,0,3,19,0,0,11
2020-02-04,2,0,0,4,21,0,0,15
2020-02-05,0,0,0,0,22,0,0,15
2020-02-06,2,0,0,1,24,0,0,16
2020-02-07,1,0,0,0,25,0,0,16
2020-02-08,0,0,0,2,25,0,0,18
2020-02-09,0,0,0,0,25,0,0,18
2020-02-10,1,0,0,1,26,0,0,19
2020-02-11,0,0,0,1,26,0,0,20
2020-02-12,1,0,0,1,28,0,0,21
2020-02-13,2,0,0,1,30,0,0,22
2020-02-14,2,0,0,0,32,0,0,22
2020-02-15,0,0,0,3,32,0,0,26
2020-02-16,0,0,0,2,32,0,0,28
2020-02-17,2,0,0,1,44,0,0,29
2020-02-18,0,0,0,0,44,0,0,29
2020-02-19,1,0,0,6,45,0,0,35
2020-02-20,2,0,0,1,48,0,0,36
2020-02-21,6,0,0,1,54,0,0,37
2020-02-22,4,0,0,1,58,0,0,38
2020-02-23,1,0,0,0,59,0,0,38
2020-02-24,9,0,0,2,69,0,0,40
2020-02-25,5,0,0,1,76,0,0,41
2020-02-26,19,2,0,0,95,2,0,41
2020-02-27,4,1,0,6445,99,3,0,6487
2020-02-28,8,2,0,3,108,5,0,6490
2020-02-29,12,1,0,62,120,6,0,6555
2020-03-01,17,3,0,99,154,9,0,6655
2020-03-02,47,3,0,204,200,13,0,6859
2020-03-03,56,3,0,267,256,16,0,7139
2020-03-04,75,2,0,335,327,19,0,8035
2020-03-05,75,5,0,1483,389,24,0,9556
2020-03-06,154,7,0,2109,472,33,0,11734
2020-03-07,140,1,0,854,590,34,0,12666
2020-03-08,169,4,0,1136,771,40,0,13813
2020-03-09,306,4,0,2069,1077,46,0,15882
2020-03-10,432,2,0,3341,1509,50,0,19223
2020-03-11,427,6,0,4471,1936,49,0,23694
2020-03-12,669,9,0,6766,2606,57,0,30460
2020-03-13,859,5,0,9888,3468,59,0,40348
2020-03-14,1031,8,0,9812,4500,71,0,50160
2020-03-15,1264,15,0,10258,5764,82,0,60418
2020-03-16,1708,23,0,23279,7471,106,0,83738
2020-03-17,2130,24,0,26793,9601,130,0,110532
2020-03-18,3356,26,0,32707,12957,157,0,143239
2020-03-19,4638,51,0,39593,17595,209,0,182832
2020-03-20,6073,70,0,49592,23668,274,0,232424
2020-03-21,6964,62,0,52213,30632,339,0,284637
2020-03-22,9230,145,0,51963,39862,483,0,336600
2020-03-23,11211,102,0,57495,51073,583,17,394096
2020-03-24,10933,235,0,87181,62006,819,17,481277
2020-03-25,12660,242,4,82010,74666,1060,167,563287
2020-03-26,17585,313,44,107021,92251,1373,125,670308
2020-03-27,19227,412,89,100866,111478,1786,375,771174
2020-03-28,19785,550,75,111085,131263,2337,434,882260
2020-03-29,19721,507,110,86475,150984,2842,544,968735
2020-03-30,21180,583,32,100478,172164,3425,371,1069213
2020-03-31,25015,909,100,115042,197179,4335,733,1184255
2020-04-01,26163,1006,240,122246,223342,5340,973,1306502
2020-04-02,28183,1174,162,130988,251525,6514,1160,1437490
2020-04-03,31991,1288,413,142186,283516,7802,2012,1579676
2020-04-04,32993,1477,484,229905,316509,9279,2356,1809581
2020-04-05,25829,1337,41,128587,342338,10616,2397,1938168
2020-04-06,28385,1313,411,136715,370723,11929,3191,2074883
2020-04-07,30493,2042,739,170275,401216,13971,3959,2245159
2020-04-08,30930,1999,698,165140,432146,15970,4792,2410299
2020-04-09,34868,2053,1751,170277,467014,18023,6543,2580576
2020-04-10,33793,2081,1000,155725,500807,20104,8070,2736301
2020-04-11,31290,2078,1485,158124,532097,22182,9555,2894425
2020-04-12,28249,1698,621,139604,560346,23880,10176,3034029
2020-04-13,24162,1630,986,125644,584508,25510,11380,3159674
2020-04-14,26036,2354,1322,159690,610544,27864,12702,3319364
2020-04-15,29656,2540,1459,148882,640200,30404,14161,3468245
2020-04-16,31293,2196,2408,183119,671493,32600,16569,3651364
2020-04-17,31598,2116,1414,171809,703091,34716,18373,3823173
2020-04-18,27627,1896,4525,171635,730718,36612,25540,3994809
2020-04-19,26919,1764,1602,148428,757637,38376,27142,4143237
2020-04-20,24401,1814,540,143897,782038,40190,27682,4287134
2020-04-21,27380,2476,1867,166415,809418,42666,29534,4453549
2020-04-22,29175,2148,3157,334559,838593,44814,47618,4788108
2020-04-23,31984,1803,1898,217704,870577,46617,49516,5005812
2020-04-24,31221,1971,2331,245965,901798,48588,51847,5251778
2020-04-25,40992,1634,7403,272812,942790,50222,59250,5524590
2020-04-26,26907,1210,1851,203991,969697,51432,61101,5728580
2020-04-27,22732,1273,3644,195643,992429,52705,64745,5924224
2020-04-28,24937,2078,1053,215706,1017366,54783,65798,6139929
2020-04-29,26238,2686,2598,255282,1043604,57469,71809,6395211
2020-04-30,30307,2154,2197,275879,1073911,59623,77358,6671091
2020-05-01,32623,1812,2979,284527,1106534,61435,84683,6955618
2020-05-02,29263,1520,9847,270942,1135797,62955,94530,7226560
2020-05-03,25828,1247,2037,239966,1161625,64202,96567,7466526
2020-05-04,22240,981,6838,236487,1183865,65183,104265,7703013
2020-05-05,22460,2494,2662,279468,1206325,67677,106927,7982481
2020-05-06,25149,1929,3813,293378,1231474,69606,110755,8275859
2020-05-07,27293,2732,4051,329147,1258767,72338,114806,8605007
2020-05-08,27149,1787,2916,312112,1285916,74125,117722,8917119
2020-05-09,25206,1459,11421,321773,1311122,75584,129143,9238892
2020-05-10,21375,1026,2458,274394,1332497,76610,131601,9513287
2020-05-11,18057,887,6842,372067,1350554,77497,138443,9885353
2020-05-12,22413,1516,6316,339891,1372967,79013,144759,10225244
2020-05-13,21389,1725,3345,346560,1394356,80738,148104,10571804
2020-05-14,26623,1845,2338,388761,1420979,82583,150442,10960565
2020-05-15,25732,1535,3563,408037,1446711,84118,154005,11368603
2020-05-16,23710,1249,9378,392896,1470421,85367,163383,11761499
2020-05-17,20517,862,2642,349322,1490938,86229,166025,12110821
2020-05-18,20538,852,7538,347632,1511476,87081,173563,12458453
2020-05-19,20564,1325,5635,422654,1532040,88406,179198,12881108
2020-05-20,21432,1396,4251,450180,1553472,89802,183449,13331288
2020-05-21,26561,1382,2672,497925,1580033,91184,186121,13829213
2020-05-22,24064,1288,4935,450483,1604097,92472,236774,14279696
2020-05-23,22525,1034,10345,443572,1626622,93506,247119,14723268
2020-05-24,19276,691,4142,389055,1645898,94197,251261,15112323
2020-05-25,18333,557,8711,407547,1664231,94754,259972,15519871
2020-05-26,16572,669,4639,316225,1680803,95423,264611,15836096
2020-05-27,19265,1340,6395,416697,1700068,96763,271006,16252793
2020-05-28,22803,1235,7346,494405,1722871,97998,356460,16747199
2020-05-29,23848,1175,5676,507229,1746719,99173,362136,17254428
2020-05-30,23358,923,9213,480363,1770077,100096,371349,17734792
2020-05-31,21696,655,5611,428851,1791773,100751,376960,18163643
2020-06-01,19966,676,8548,417971,1811739,101427,385508,18581614
2020-06-02,19964,984,4845,449624,1831703,102411,390353,19031238
2020-06-03,20146,973,7194,505628,1851849,103384,404290,19536866
2020-06-04,20512,882,11011,497042,1872361,104266,415301,20033908
2020-06-05,23087,834,5366,620767,1895448,105100,420667,20654676
2020-06-06,22666,709,8068,555263,1918114,105809,428735,21209939
2020-06-07,19033,450,4382,436619,1937147,106259,433117,21646558
2020-06-08,16979,674,6386,406060,1954126,106933,439503,22052619
2020-06-09,16908,895,5490,455788,1971034,107828,444993,22508407
2020-06-10,20892,893,7207,486493,1991926,108721,452200,22994901
2020-06-11,21992,897,9231,486321,2013918,109618,461431,23481222
2020-06-12,23147,767,6609,623826,2037065,110385,468040,24105048
2020-06-13,25431,692,8086,544620,2062496,111077,476126,24649668
2020-06-14,21638,355,4471,473814,2084134,111432,480597,25123483
2020-06-15,18215,383,8201,447442,2102349,111815,488798,25570924
2020-06-16,22858,726,6426,499644,2125207,112541,495224,26070568
2020-06-17,24247,778,7696,564260,2149454,113319,502920,26634828
2020-06-18,26966,681,8672,561359,2176420,114000,511592,27196188
2020-06-19,30812,660,6334,664266,2207232,114660,517926,27860454
2020-06-20,32245,611,9961,605661,2239477,115271,527887,28466115
2020-06-21,29131,295,3990,503047,2268608,115566,531877,28969162
2020-06-22,26827,290,9350,498246,2295435,115856,541227,29467408
2020-06-23,33459,728,6812,670694,2328894,116584,548039,30138102
2020-06-24,39194,705,8211,618880,2368088,117289,556250,30756982
2020-06-25,39700,654,7430,711352,2407788,117943,563680,31468334
2020-06-26,44381,608,6482,739062,2452169,118551,570162,32207396
2020-06-27,43175,511,7687,717082,2495344,119062,577849,32924478
2020-06-28,41753,273,5103,610110,2537097,119335,582952,33534588
2020-06-29,39304,337,10204,661188,2576401,119672,593156,34195776
2020-06-30,46979,583,14948,710396,2623380,120255,608104,34906172
2020-07-01,51181,697,8223,733385,2674561,120952,616327,35639557
2020-07-02,53475,699,11552,774479,2728036,121651,666866,36414036
2020-07-03,54068,599,7477,792960,2782104,122250,674343,37206996
2020-07-04,54982,295,9561,682792,2837086,122545,683904,37889788
2020-07-05,45351,216,7187,616955,2882437,122761,691091,38506743
2020-07-06,40868,235,10674,653301,2923305,122996,701765,39160044
2020-07-07,50965,904,11597,734403,2974270,123900,713362,39894447
2020-07-08,62812,821,15611,783759,3037082,124721,728973,40678206
2020-07-09,59166,861,14433,848674,3096248,125582,743406,41526880
2020-07-10,67107,844,12980,908819,3163355,126426,756386,42435700
2020-07-11,62728,755,11341,834825,3226083,127181,767727,43270525
2020-07-12,61700,475,9745,793979,3287783,127656,777472,44064504
2020-07-13,57159,332,12764,768588,3344942,127988,790236,44833092
2020-07-14,58670,744,16363,836894,3403612,128732,806599,45669986
2020-07-15,69352,863,25524,908867,3472964,129595,832123,46578853
2020-07-16,70521,940,13469,946314,3543485,130535,845592,47525168
2020-07-17,76414,938,14909,943132,3619899,131473,860501,48468300
2020-07-18,64775,876,14901,865285,3684674,132349,875402,49333585
2020-07-19,64233,529,7509,785119,3748907,132878,882911,50118705
2020-07-20,56879,376,16250,737217,3805786,133254,899161,50855922
2020-07-21,62737,1045,21995,832525,3868523,134299,921156,51688447
2020-07-22,69455,1148,27199,898402,3937978,135447,948355,52586849
2020-07-23,71399,1069,27638,930852,4009377,136516,975993,53517701
2020-07-24,74951,1128,19733,1000175,4084328,137644,995726,54517876
2020-07-25,65025,1012,16530,879556,4149353,138656,1012256,55397432
2020-07-26,60689,562,17497,858435,4210042,139218,1029753,56255868
2020-07-27,54463,1067,13401,772382,4264505,140285,1043154,57028250
2020-07-28,58451,1109,28085,839592,4322956,141394,1071239,57867842
2020-07-29,64140,1505,34033,901815,4387096,142899,1105272,58769657
2020-07-30,69022,1249,21976,890236,4456118,144148,1127248,59659893
2020-07-31,67876,1322,22663,984140,4523994,145470,1149911,60644033
2020-08-01,60625,1203,22776,810905,4584619,146673,1172687,61454938
2020-08-02,53252,496,5746,787019,4637871,147169,1178433,62241958
2020-08-03,42763,516,31210,713013,4680634,147685,1209643,62954971
2020-08-04,51140,1242,19024,803339,4731774,148927,1228667,63758310
2020-08-05,52617,1359,39840,815657,4784391,150286,1268507,64573967
2020-08-06,54074,1244,18568,849087,4838465,151530,1287075,65423054
2020-08-07,60834,1321,23882,886160,4899299,152851,1310957,66309214
2020-08-08,53544,1085,18601,785896,4952843,153936,1329558,67095111
2020-08-09,50688,620,13145,800745,5003531,154556,1342703,67895856
2020-08-10,41396,430,13272,743154,5044927,154986,1355975,68639010
2020-08-11,54924,1323,29493,838857,5099851,156309,1385468,69477868
2020-08-12,56302,1516,38697,816191,5156153,157825,1424165,70294059
2020-08-13,51615,1164,19008,957094,5207768,158989,1443173,71251154
2020-08-14,56771,1226,19131,992659,5264539,160215,1462304,72243813
2020-08-15,56042,1228,21203,892300,5320581,161443,1483507,73136113
2020-08-16,42479,620,13634,781310,5363060,162063,1497141,73917424
2020-08-17,37736,412,20345,703289,5400796,162475,1517486,74620713
2020-08-18,40042,1179,22328,771519,5440838,163654,1539814,75392232
2020-08-19,45143,1409,34372,835333,5485981,165063,1574186,76227565
2020-08-20,43816,1129,20515,865846,5529797,166192,1594701,77093411
2020-08-21,46533,1114,16781,912070,5576330,167306,1611482,78005481
2020-08-22,46033,1035,19923,903980,5622363,168341,1631405,78909461
2020-08-23,37900,577,11781,724447,5660263,168918,1643186,79633908
2020-08-24,34534,337,13807,715985,5694797,169255,1656993,80349893
2020-08-25,36900,1137,29948,746594,5731697,170392,1686941,81096487
2020-08-26,44441,1300,29404,774800,5776138,171692,1716345,81871287
2020-08-27,44268,1128,15318,859426,5820406,172820,1731663,82730714
2020-08-28,46105,1021,15486,937080,5866511,173841,1747149,83667794
2020-08-29,43749,1017,21316,939821,5910260,174858,1768465,84607615
2020-08-30,38864,477,12528,821434,5949124,175335,1780993,85429050
2020-08-31,31753,381,20170,683738,5980877,175716,1801163,86112788
2020-09-01,42204,1016,16696,776586,6023081,176732,1817859,86889374
2020-09-02,30815,1036,27397,795127,6053896,177768,1845256,87684501
2020-09-03,44643,1073,34110,911798,6098539,178841,1879366,88596299
2020-09-04,51618,999,15029,1087574,6150157,179840,1894395,89683873
2020-09-05,44825,924,17832,990066,6194982,180764,1912227,90673939
2020-09-06,32898,454,13110,763011,6227880,181218,1925337,91436950
2020-09-07,27984,230,5535,667510,6255864,181448,1930872,92104460
2020-09-08,22329,348,24258,549630,6278193,181796,1955130,92654090
2020-09-09,30908,1089,27105,754691,6309101,182885,1982235,93408781
2020-09-10,37362,1157,14673,824507,6346463,184042,1996908,94233288
2020-09-11,44822,1017,13036,939707,6391285,185059,2009944,95172996
2020-09-12,41665,816,20195,1017050,6432950,185875,2030139,96190046
2020-09-13,34561,390,10525,790409,6467511,186265,2040664,96980455
2020-09-14,33572,406,15993,821294,6501083,186671,2056657,97801749
2020-09-15,34661,1034,15981,853119,6535744,187705,2072638,98654869
2020-09-16,40361,1190,29086,841079,6576105,188895,2101724,99495948
2020-09-17,43713,881,13378,985356,6619818,189776,2115102,100481304
2020-09-18,46897,900,16071,1093869,6666715,190676,2131173,101575174
2020-09-19,45722,748,19155,1166034,6712437,191424,2150328,102741208
2020-09-20,35449,328,10626,991048,6747886,191752,2160954,103732257
2020-09-21,39158,276,16227,752277,6787044,192028,2177181,104484534
2020-09-22,48978,861,29820,917823,6836022,192889,2207001,105402358
2020-09-23,39631,1159,23938,1016549,6875653,194048,2230939,106418907
2020-09-24,43342,940,36801,1015156,6918995,194988,2267740,107434063
2020-09-25,55217,841,15922,1152423,6974212,195829,2283662,108586486
2020-09-26,47231,871,22309,1136843,7021443,196700,2305971,109723329
2020-09-27,35013,306,15089,931740,7056456,197006,2321060,110655069
2020-09-28,35374,246,19677,994387,7091830,197252,2340737,111649457
2020-09-29,36695,726,17239,989798,7128525,197978,2357976,112639255
2020-09-30,45045,1066,25860,975535,7173570,199044,2383836,113614790
2020-10-01,45725,865,18978,1017276,7219295,199909,2402814,114632067
2020-10-02,49439,839,13103,1214291,7268734,200748,2415917,115846358
2020-10-03,50806,736,21548,1121319,7319540,201484,2437465,116967678
2020-10-04,38240,382,13960,1022674,7357780,201866,2451425,117990352
2020-10-05,37746,332,13497,937344,7395526,202198,2464922,118927696
2020-10-06,38791,614,15923,959602,7434317,202812,2480845,119887298
2020-10-07,51267,929,24089,1075823,7485584,203741,2527280,120963121
2020-10-08,55398,978,20119,1230824,7540982,204719,2547399,122193946
2020-10-09,57164,916,16764,1279480,7598146,205635,2558293,123473426
2020-10-10,57516,691,23351,1291388,7655662,206326,2581644,124764814
2020-10-11,46665,475,11441,1099635,7702327,206801,2593085,125864449
2020-10-12,43167,286,15951,949552,7745494,207087,2609036,126814001
2020-10-13,46898,718,16466,1079857,7792392,207805,2625502,127893858
2020-10-14,57239,797,29738,1118042,7849631,208602,2655240,129011900
2020-10-15,63821,931,20235,1187655,7913452,209533,2675475,130199555
2020-10-16,68557,892,18607,1250273,7982009,210425,2694082,131449828
2020-10-17,57561,780,22550,1320687,8039570,211205,2716632,132770515
2020-10-18,47893,406,12079,1070340,8087463,211611,2728711,133840855
2020-10-19,57714,449,24684,1100124,8145177,212060,2753395,134940980
2020-10-20,60502,837,21219,1029984,8205679,212897,2774614,135970963
2020-10-21,62948,1050,26247,1062302,8268627,213947,2800861,137033265
2020-10-22,72329,1100,28117,1312144,8340956,215047,2828978,138345409
2020-10-23,82709,945,20555,1446956,8423665,215992,2849533,139792366
2020-10-24,83877,900,30100,1370238,8507542,216892,2879633,141162604
2020-10-25,64374,399,15165,1215223,8571916,217291,2894798,142377828
2020-10-26,63396,397,22491,1125082,8635312,217688,2917289,143502909
2020-10-27,72279,922,25332,1151175,8707591,218610,2942621,144654084
2020-10-28,79769,1052,28265,1155913,8787360,219662,2970886,145809997
2020-10-29,89415,1065,34136,1457120,8876775,220727,2995222,147267117
2020-10-30,98080,930,22025,1427168,8974855,221657,3017247,148694286
2020-10-31,91166,957,32521,1456302,9066021,222614,3049768,150150588
2020-11-01,141951,414,20209,1158720,9207972,223028,3069977,151309308
2020-11-02,83448,478,24386,1229595,9291420,223506,3094363,152538903
2020-11-03,119981,1522,27845,1270866,9411401,225028,3122208,153809769
2020-11-04,106033,1132,36199,1323783,9517434,226160,3158407,155133552
2020-11-05,119325,1152,35012,1415342,9636759,227312,3193419,156548894
2020-11-06,130018,1191,26767,1780574,9766777,228503,3208228,158329469
2020-11-07,132124,1133,38720,1549563,9898901,229636,3246948,159879032
2020-11-08,112335,515,28637,1266206,10011236,230151,3275585,161145238
2020-11-09,118389,579,28444,1332349,10129625,230730,3304029,162477588
2020-11-10,135681,1358,30059,1333312,10265306,232088,3334088,163810900
2020-11-11,149211,1576,31839,1502113,10414517,233664,3365927,165313013
2020-11-12,157968,1110,50424,1610425,10572485,234774,3416351,166923439
2020-11-13,174704,1310,40292,1751296,10747189,236084,3456643,168674735
2020-11-14,167662,1354,50750,1768254,10914851,237438,3507393,170442989
2020-11-15,146897,716,35123,1621825,11061748,238154,3542516,172064814
2020-11-16,150166,612,40581,1487215,11211914,238766,3583097,173552030
2020-11-17,159551,1553,45401,1635222,11371465,240319,3621333,175187252
2020-11-18,168467,1889,51798,1699404,11539932,242208,3673131,176886656
2020-11-19,188084,2014,57883,1846030,11728016,244222,3731014,178732686
2020-11-20,197255,1913,42913,1996735,11925271,246135,3773927,180729421
2020-11-21,186257,1554,68899,2123668,12111528,247689,3842826,182853089
2020-11-22,154000,931,-5772,1806760,12265528,248620,3837054,184659849
2020-11-23,154832,859,84394,1672254,12420360,249479,3921448,186332103
2020-11-24,166474,2078,57863,1869298,12586834,251557,3979311,188201402
2020-11-25,188828,2284,132447,1877780,12775662,253841,4111758,190079182
2020-11-26,129904,1396,28926,1450063,12905566,255237,4140684,191529245
2020-11-27,198956,1413,69958,1954778,13104522,256650,4210642,193484024
2020-11-28,151332,1247,73284,1663022,13255854,257897,4283926,195147046
2020-11-29,136931,823,37461,1325630,13392785,258720,4321387,196472676
2020-11-30,150376,1041,51932,1519699,13543161,259761,4373319,197992375
2020-12-01,181086,2494,72233,1495924,13724247,262255,4445552,199488299
